Product Title,Price,promo_price,weight,Timestamp
Bekijk Delicata Reep puur 85% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep melk chocolade,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep witte chocolade met vanille aroma,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep melk chocolade,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep pure chocolade,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep witte chocolade met vanille aroma,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep extra pure chocolade 70%,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep extra pure chocolade 70%,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep melkchocolade butterscotch,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep crispy witte chocolade,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep krachtige pure Belgische chocolade,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep melkchocolade hazelnoot,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep witte chocolade cappuccino,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep melkchocolade,4.99,4.99,400 g,2025-01-10
Bekijk Delicata Reep melkchocolade hazelnoot,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep puur 75% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep puur 80% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep pure chocolade hazelnoot,1.79,1.79,100 g,2025-01-10
Bekijk Delicata Reep puur 71% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep pure chocolade hazelnoot,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep puur fleur de sel 75% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep melkchocolade pecan karamel zeezout,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep melkchocolade stroopwafel,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep melkchocolade karamel zeezout,2.89,2.89,200 g,2025-01-10
Bekijk Delicata Reep puur 72% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep witte chocolade pistache cranberry,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep melkchocolade kletskop karamel,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep pure chocolade sinaasappel amandel,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep pure chocolade walnoot vijg,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep witte chocolade framboos cheesecake,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep pure chocolade amandel kokos,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep karamel zeezout cheesecakesmaak,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep pinda pretzel karamel melkchocolade,3.29,3.29,150 g,2025-01-10
Bekijk Delicata Reep espresso & karamel pure chocolade,2.79,2.79,90 g,2025-01-10
Bekijk Delicata Reep puur gember limoen,2.79,2.79,90 g,2025-01-10
Bekijk Delicata Reep puur 64% cacao,2.49,2.49,100 g,2025-01-10
Bekijk Delicata Reep pure chocolade balsamico & aarbei,2.79,2.79,90 g,2025-01-10
Bekijk Delicata Reep pure chocolade viooltjes & bosbes,2.79,2.79,90 g,2025-01-10
Bekijk Delicata Reep pure chocolade lavendel & karamel,2.79,2.79,90 g,2025-01-10
Bekijk AH Reep puur,0.99,0.99,100 g,2025-01-10
Bekijk AH Reep melk,2.19,2.19,200 g,2025-01-10
Bekijk AH Reep puur,2.19,2.19,200 g,2025-01-10
Bekijk AH Reep melk-hazelnoot,2.19,2.19,200 g,2025-01-10
Bekijk AH Reep extra puur,1.39,1.39,100 g,2025-01-10
Bekijk AH Reep melk crispy,1.09,1.09,100 g,2025-01-10
Bekijk AH Reep melk hazelnoot rozijn,2.19,2.19,200 g,2025-01-10
Bekijk AH Praliné bloc wit,2.39,2.39,200 g,2025-01-10
Bekijk AH Praliné bloc melk,2.39,2.39,200 g,2025-01-10
Bekijk AH Reep wit,1.19,1.19,100 g,2025-01-10
Bekijk AH Reep melk,0.99,0.99,100 g,2025-01-10
Bekijk AH Reep melk hazelnoot,0.99,0.99,100 g,2025-01-10
Bekijk AH Reep puur hazelnoot,2.19,2.19,200 g,2025-01-10
Bekijk AH Reep melk hazelnoot rozijn,1.09,1.09,100 g,2025-01-10
